Geneid,sample1,sample2,sample3,sample4,sample5,sample6
AC083880.1,26,17,17,15,21,22
RNU6-911P,0,0,0,0,0,0
KLRG2,77,51,15,23,69,22
AC005531.1,0,0,0,0,0,0
CLEC2L,17,2,12,0,20,18
ERHP1,0,0,0,0,1,1
HIPK2,11032,10671,9242,11326,7673,8692
TBXAS1,20,42,30,23,16,10
PARP12,208,111,143,104,118,216
KDM7A,591,646,654,708,510,398
AC004849.1,0,0,0,6,0,0
KDM7A-DT,407,324,433,401,290,381
RNU6-797P,0,0,0,0,0,0
RNU1-58P,0,0,0,0,0,0
AC005377.1,0,0,0,0,6,0
PPP1R2P6,0,0,0,0,0,0
SLC37A3,1906,1907,1172,1794,1520,2390
RNA5SP247,0,2,0,0,0,0
RNA5SP248,0,0,0,0,0,0
RAB19,6,0,0,0,0,2
AC069335.1,0,0,0,0,0,0
MKRN1,6778,6625,5055,6359,5322,9744
DENND2A,353,375,283,336,275,307
AC006452.1,0,0,0,0,0,0
AC006452.2,7,6,1,0,4,2
RN7SL771P,0,0,0,0,0,0
ADCK2,251,303,210,283,213,226
NDUFB2,2507,2153,2291,2401,1743,3326
NDUFB2-AS1,12,5,12,8,9,4
BRAF,1278,1107,798,1043,947,1184
RNU6-85P,0,0,0,0,2,0
AC006006.1,0,0,0,0,0,4
CCT4P1,0,0,0,0,0,0
MRPS33,1300,1248,969,1294,946,2478
RNU4-74P,0,0,0,0,0,0
TMEM178B,24,29,152,27,56,68
AC006362.1,0,0,0,0,0,0
NDUFB10P2,0,0,0,0,0,0
AC005692.3,0,0,0,0,0,0
AC005692.1,0,0,0,0,0,0
AC005692.2,0,0,0,0,0,0
AC073878.1,0,0,0,0,0,0
AC073878.2,0,0,0,0,0,0
AGK,1048,1218,844,1093,846,1708
AC004918.1,3,0,1,4,3,14
DENND11,880,864,443,780,628,969
AC004918.5,41,50,23,70,24,64
WEE2-AS1,35,50,10,33,34,29
WEE2,0,0,0,1,1,0
RNU1-82P,0,0,0,0,0,0
SSBP1,2835,2674,1969,2542,2104,2807
TAS2R3,10,1,0,2,4,2
TAS2R4,6,12,2,7,0,4
TAS2R6P,0,4,0,0,0,0
TAS2R5,1,6,0,4,4,2
MTCO1P55,0,0,0,0,0,0
MTND2P5,0,2,0,0,0,0
MTND1P3,0,0,0,0,0,0
MYL6P4,0,0,0,0,0,0
PRSS37,0,0,0,0,0,0
OR9A3P,0,0,0,0,0,0
OR9A1P,0,0,0,0,0,0
MGAM,20,8,6,8,15,36
OR9N1P,0,0,0,0,0,0
OR9A4,0,0,0,0,0,0
CLEC5A,0,0,0,0,0,0
TAS2R38,0,0,0,0,0,0
MGAM2,2,4,2,0,0,4
MOXD2P,0,0,0,0,0,0
PRSS58,0,0,0,0,0,0
AC245088.1,0,0,0,0,0,0
AC245088.2,0,0,0,0,0,0
PRSS3P3,0,0,0,0,0,0
TRBV1,0,0,0,0,0,0
TRBV2,0,0,0,0,0,0
TRBV3-1,0,0,0,0,0,0
TRBV4-1,0,0,0,0,0,0
TRBV5-1,0,0,0,0,0,0
TRBV6-1,0,0,0,0,0,0
TRBV7-1,0,0,0,0,0,0
TRBV4-2,0,0,0,0,0,0
TRBV6-2,0,0,0,0,0,0
TRBV7-2,0,0,0,0,0,0
TRBV8-1,0,0,0,0,0,0
TRBV5-2,0,0,0,0,0,0
TRBV6-4,0,0,0,0,0,0
TRBV7-3,2,0,0,0,0,0
TRBV8-2,0,0,0,0,0,0
TRBV5-3,0,0,0,0,0,0
TRBV9,0,0,0,0,0,0
TRBV10-1,0,0,0,0,0,0
TRBV11-1,0,0,0,0,0,0
TRBV12-1,0,0,0,0,0,0
TRBV10-2,0,0,0,0,0,0
TRBV11-2,0,0,0,0,0,0
TRBV12-2,0,0,0,0,0,0
TRBV6-5,0,0,0,0,0,0
TRBV7-4,0,0,0,0,0,0
TRBV5-4,0,0,0,0,0,0
TRBV6-6,0,0,0,0,0,0
TRBV7-5,0,0,0,0,0,0
TRBV5-5,0,0,0,0,0,0
TRBV6-7,0,0,0,0,0,0
TRBV7-6,0,0,0,0,0,0
TRBV5-6,0,0,0,0,0,0
TRBV6-8,0,0,0,0,0,0
TRBV7-7,0,0,0,0,0,0
TRBV5-7,0,0,0,0,0,0
TRBV7-9,0,0,0,0,0,0
TRBV13,0,0,0,0,0,0
TRBV10-3,0,0,0,0,0,0
TRBV11-3,0,0,0,0,0,0
TRBV12-3,0,0,0,0,0,0
TRBV12-4,0,0,0,0,0,0
TRBV12-5,0,0,0,0,0,0
TRBV14,0,0,0,0,0,0
TRBV15,0,0,0,0,0,0
TRBV16,0,0,0,0,0,0
TRBV17,0,0,0,0,0,0
TRBV18,0,0,0,0,0,0
TRBV19,0,0,0,0,0,0
TRBV20-1,0,0,0,0,0,0
TRBV21-1,0,0,0,0,0,0
TRBV22-1,0,0,0,0,0,0
TRBV23-1,0,0,0,0,0,0
TRBV24-1,0,0,0,0,0,0
MTRNR2L6,2,0,0,0,0,0
TRBV25-1,0,0,0,0,0,0
TRBVA,0,0,0,0,0,0
TRBV26,0,0,0,0,0,0
TRBVB,0,0,0,0,0,0
TRBV27,0,0,0,0,0,0
TRBV28,0,0,0,0,0,0
PGBD4P1,0,0,0,0,0,0
AC244472.1,0,0,0,0,0,0
TRBV29-1,0,0,0,0,0,0
PRSS1,6,0,0,0,4,8
PRSS2,42,0,6,0,53,104
PRSS3P1,0,0,0,0,0,0
WBP1LP1,0,0,0,0,0,0
TRBD1,0,0,0,0,0,0
TRBJ1-1,0,0,0,0,0,0
TRBJ1-2,0,0,0,0,0,0
TRBJ1-3,0,0,0,0,0,0
TRBJ1-4,0,0,0,0,0,0
TRBJ1-5,0,0,0,0,0,0
TRBJ1-6,0,0,0,0,0,0
TRBC1,0,0,0,0,0,4
TRBJ2-1,4,0,0,0,0,0
TRBJ2-2,0,0,0,0,0,0
TRBJ2-2P,0,0,0,0,0,0
TRBJ2-3,0,0,0,0,0,0
TRBJ2-4,0,0,0,0,0,0
TRBJ2-5,0,0,0,0,0,0
TRBJ2-6,0,0,0,0,0,0
TRBJ2-7,0,0,0,0,2,0
TRBC2,33,0,0,0,20,58
TRBV30,0,0,0,0,2,8
EPHB6,179,128,70,72,90,184
TRPV6,8,2,0,0,4,26
AC245427.1,0,0,0,0,0,0
AC245427.2,0,0,0,0,0,0
TRPV5,6,0,0,0,0,0
LLCFC1,0,5,2,6,0,2
KEL,200,87,61,88,143,265
OR9A2,0,0,0,0,0,0
OR9P1P,0,0,0,0,0,0
OR6V1,0,0,0,0,0,0
OR6W1P,0,2,2,0,0,0
PIP,0,0,0,0,0,0
TAS2R39,0,0,0,0,0,0
AC073342.2,0,0,0,0,0,0
TAS2R40,0,0,0,0,0,0
AC073342.3,0,0,0,0,0,0
GSTK1,5996,4797,4126,4936,4340,9461
AC073342.1,1,1,2,4,0,4
TMEM139,106,66,107,77,62,152
CASP2,946,1050,584,991,764,955
RN7SL535P,2,0,0,8,3,0
RN7SL481P,8,3,1,8,1,2
HINT1P1,0,1,0,0,0,0
CLCN1,0,0,2,2,6,6
FAM131B,35,137,31,94,8,22
AC093673.2,0,2,0,0,0,0
AC093673.1,308,363,481,437,203,372
ZYX,6861,8014,7179,7548,4318,3415
MIR6892,0,0,0,0,0,0
EPHA1,83,31,11,30,77,40
EPHA1-AS1,0,0,0,0,2,4
TAS2R62P,0,0,0,0,0,0
TAS2R60,0,0,0,0,0,0
TAS2R41,0,0,0,0,0,0
OR2R1P,0,0,0,0,0,0
OR10AC1,0,0,0,0,0,0
AC073264.1,0,0,0,0,0,0
PAICSP5,0,0,0,0,0,0
CTAGE15,14,2,0,0,2,0
RNU6-162P,0,0,0,0,0,0
AC073264.2,0,0,0,0,0,0
TCAF1P1,531,384,274,362,391,537
AC073264.3,0,1,0,0,0,8
TCAF2,74,78,22,58,78,34
TCAF2C,0,0,1,0,0,1
RNU6-267P,0,0,0,0,0,0
CTAGE6,0,0,0,0,0,0
AC099548.2,2,10,14,8,6,3
PAICSP6,0,0,0,0,0,0
AC099548.1,0,0,0,0,0,0
TCAF2P1,4,0,2,0,0,0
TCAF1,4759,3857,2535,3993,3805,4102
OR2F2,0,0,0,0,0,0
OR2F1,0,2,2,0,0,1
AC004853.1,0,1,0,0,0,0
OR2Q1P,0,0,0,0,0,0
SLC16A1P1,0,0,0,0,0,0
OR6B1,0,0,0,0,0,0
OR2A5,2,0,0,0,2,0
OR2A25,0,0,0,0,0,0
OR2A41P,0,0,0,0,0,0
OR2A12,0,0,0,0,0,0
OR2A2,0,0,0,0,0,0
OR2A15P,0,0,0,0,0,0
OR2A14,0,0,0,0,0,0
OR2A13P,0,0,0,0,0,0
OR2A3P,0,0,0,0,0,0
OR2AO1P,0,0,0,0,0,0
CTAGE4,0,6,4,4,2,6
ARHGEF35,21,16,36,3,20,15
ARHGEF35-AS1,10,7,14,12,12,6
OR2A42,0,0,4,0,2,0
OR2A20P,0,4,0,0,0,0
AC074386.1,0,0,0,0,0,0
OR2A7,0,0,2,1,0,0
CTAGE8,7,0,10,0,0,2
ARHGEF34P,22,25,15,10,17,63
OR2A9P,0,0,0,0,0,0
OR2A1-AS1,1,1,3,1,0,2
OR2A1,4,0,0,0,0,0
ARHGEF5,74,30,86,22,66,84
NOBOX,0,0,0,0,0,0
PPIAP83,0,0,0,0,0,0
RNU6ATAC40P,0,0,0,0,0,0
TPK1,198,236,205,292,158,248
EEF1A1P10,2,12,0,0,2,2
RN7SKP174,0,0,0,0,0,0
EI24P4,0,0,0,0,0,0
AC073310.1,0,0,0,0,0,0
RPL7P59,0,0,0,0,0,0
AC004911.1,0,0,0,0,0,0
DPY19L4P2,0,0,0,0,0,0
AC006007.1,0,0,0,0,0,0
AC073308.1,0,0,0,0,0,0
CNTNAP2,409,199,125,113,394,297
AC073418.1,0,0,0,0,0,0
AC007027.1,0,0,0,0,0,0
CNTNAP2-AS1,0,0,4,0,0,0
DUTP3,0,0,0,0,0,0
RANP2,0,0,0,0,0,0
MIR548F4,0,0,0,0,0,0
AC005518.1,0,2,0,0,0,0
AC005518.2,0,0,0,0,0,0
RNU6-1184P,0,0,0,0,0,0
RNA5SP249,0,0,0,0,0,0
RN7SL456P,0,0,0,0,0,0
AC083849.1,0,0,0,0,0,0
RN7SL72P,0,0,0,0,0,0
AC083849.2,0,0,0,0,0,0
AC006974.1,0,0,0,0,0,0
AC006974.2,0,0,0,0,0,0
AC005229.2,0,0,0,0,0,0
AC005229.5,0,1,0,0,0,0
C7orf33,0,0,0,0,0,0
AC005229.1,0,0,0,0,0,0
AC005229.3,0,0,0,0,0,0
AC005229.4,89,82,75,103,65,68
CUL1,4952,4849,3095,4721,3764,6698
EZH2,1162,1229,476,870,802,1325
RNU7-20P,0,0,0,1,2,0
AC073140.1,0,0,2,0,0,1
RN7SL569P,0,0,0,0,1,0
AC073140.3,0,0,0,0,0,3
AC073140.2,4,0,0,0,0,0
RNY4,0,0,0,0,0,0
RNY3,0,0,0,0,0,0
RNY1,1,0,0,0,0,0
GHET1,6,12,11,12,12,24
PDIA4,10387,10027,8348,10126,7452,14235
RNU6-650P,0,0,0,0,0,0
COX6B1P1,0,0,0,0,0,0
ZNF786,358,344,388,398,272,366
ZNF425,221,254,196,285,257,227
RN7SL521P,5,6,4,20,8,0
ZNF398,644,713,557,680,539,756
AC004890.1,0,0,0,0,0,0
ZNF282,1973,1854,1186,1739,1499,1770
ZNF212,383,344,269,313,278,427
ZNF783,449,439,382,362,369,396
AC004890.3,6,3,0,4,2,2
AC004890.2,70,43,20,42,45,49
AC004941.2,0,0,0,0,0,1
NPM1P12,0,0,0,0,0,0
AC004941.1,0,0,0,0,0,0
AC073314.1,0,0,0,0,4,0
ZNF777,1166,1228,890,932,914,736
ZNF746,1456,1446,1027,1252,1038,1102
ZNF767P,812,755,373,610,702,855
KRBA1,2353,1662,1651,1663,1492,1717
ZNF467,530,643,432,660,331,183
SSPO,443,422,281,650,253,202
ZNF862,423,578,231,587,319,486
AC004877.2,12,20,5,17,2,8
AC004877.1,10,5,2,9,1,12
ATP6V0E2-AS1,143,136,61,139,173,233
ATP6V0E2,2206,2238,2184,2048,1548,2007
AC093458.1,1,0,0,0,0,0
AC093458.2,7,2,0,0,3,0
AC092681.3,0,0,0,0,0,0
AC092681.1,0,0,0,0,0,0
AC092681.2,0,0,0,0,0,0
AC092666.1,0,0,0,0,0,0
AC092666.2,0,0,0,0,0,0
AC006008.1,6,1,2,4,2,2
ACTR3C,37,25,67,21,34,67
ZBED6CL,121,138,163,83,85,161
LRRC61,238,198,173,152,147,122
AC005586.2,16,10,15,30,19,18
RARRES2,185,159,254,157,177,181
AC005586.1,31,51,38,42,30,68
REPIN1,9488,8222,7954,8420,6492,6747
ZNF775,581,582,376,550,456,216
AC073111.3,0,0,0,0,0,0
AC073111.1,10,9,9,13,12,5
AC073111.4,309,228,299,329,234,242
LINC00996,0,0,0,2,0,0
GIMAP8,2,14,0,12,0,0
AC073111.2,0,0,0,0,0,0
STRADBP1,1,0,0,3,0,2
GIMAP7,2,0,0,0,0,2
ALDH7A1P3,0,0,0,0,0,0
GIMAP4,4,8,8,2,2,12
AC069304.3,0,0,0,0,0,1
AC069304.1,0,0,2,0,0,0
GIMAP6,12,8,8,0,0,4
AC069304.2,0,0,0,0,0,0
GIMAP2,0,0,0,0,0,0
GIMAP1,0,0,0,4,0,0
GIMAP1-GIMAP5,0,0,0,0,0,0
GIMAP5,0,2,2,0,0,0
GIMAP3P,0,0,0,0,0,0
BET1P1,0,0,0,0,0,0
TMEM176B,76,48,76,39,58,69
TMEM176A,45,22,22,14,50,28
AOC1,4,3,4,5,1,1
KCNH2,13833,11702,11869,12571,10475,10297
NOS3,174,147,80,74,142,115
ATG9B,52,39,53,21,31,35
ABCB8,2170,1742,1401,1715,1294,1774
AC010973.1,28,17,13,14,14,9
ASIC3,234,204,99,225,225,140
CDK5,862,1069,941,1110,711,1511
SLC4A2,7834,7503,7202,7700,5300,6961
AC010973.2,5,8,3,12,12,2
FASTK,3787,3722,3502,4197,2728,3564
TMUB1,2211,1956,1741,1973,1350,964
AGAP3,5630,5317,5597,5113,4102,3899
GBX1,6,9,1,5,0,3
ASB10,91,70,80,113,70,25
IQCA1L,2,1,0,0,0,0
H2BE1,0,3,0,0,0,0
ABCF2,3413,3201,2725,3488,2604,5423
CHPF2,5064,4618,4068,4818,3350,4624
MIR671,0,0,0,0,0,0
SMARCD3,6963,6149,4566,5757,4313,6284
AC021097.1,0,0,0,0,0,0
AC005486.1,11,2,7,8,9,7
NUB1,1905,1837,1293,1852,1532,1621
WDR86,942,485,495,418,674,461
WDR86-AS1,42,20,24,36,37,43
AC005996.1,0,1,0,0,0,0
CRYGN,21,8,38,10,11,20
MIR3907,0,0,0,0,0,0
RN7SL76P,0,0,1,0,0,0
RHEB,3353,3779,3209,3699,2560,3040
ETF1P2,7,14,1,10,2,5
PRKAG2,5899,7249,9807,8060,4820,4564
AC093583.1,0,0,0,0,0,0
PRKAG2-AS1,10,4,0,0,2,0
RNU6-604P,0,0,0,0,0,0
AC074257.1,0,0,0,0,0,0
AC074257.2,0,0,0,0,0,0
GALNTL5,0,0,0,0,0,0
AC006017.2,0,0,0,0,0,0
GALNT11,1922,1884,1579,2104,1520,2413
AC006017.1,6,0,6,7,13,6
YBX1P4,0,6,0,2,0,4
KMT2C,3875,3656,2180,3865,2822,5061
AC104692.2,0,0,0,0,1,0
AC104692.1,0,0,0,0,1,0
SEPTIN7P6,16,14,18,31,9,46
AC005631.1,0,0,0,0,0,0
FABP5P3,0,0,1,2,3,0
CCT8L1P,0,4,0,0,0,0
LINC01003,234,290,308,286,220,129
AC104843.2,0,0,0,0,0,0
RNA5SP250,0,0,0,0,0,0
AC104843.3,0,0,0,0,0,0
AC104843.1,0,0,0,0,0,0
AC003109.1,0,0,0,0,0,0
XRCC2,371,250,79,295,230,203
ATP5PBP3,0,0,2,0,0,0
RN7SL845P,0,0,0,0,0,0
ACTR3B,482,506,295,414,356,607
AC006348.1,0,0,0,0,0,3
AC079809.1,0,0,0,0,0,0
LINC01287,0,0,0,0,3,0
AC073236.1,0,0,0,0,0,0
PAXBP1P1,0,0,0,0,0,0
AC005998.1,0,0,0,0,0,0
DPP6,6,47,0,22,2,4
AC005588.1,0,0,0,0,0,0
AC006019.3,0,0,0,0,0,0
AC006019.1,0,0,0,0,0,0
AC006019.2,0,0,0,0,0,0
AC024730.1,0,0,0,0,0,0
AC073336.1,0,0,0,0,0,0
PAXIP1-AS2,53,21,16,27,5,3
PAXIP1,639,622,284,545,440,645
AC093726.1,0,0,0,0,0,0
AC093726.2,7,6,2,1,2,0
PAXIP1-AS1,185,273,182,243,163,160
HTR5A-AS1,0,0,0,0,0,0
HTR5A,0,0,0,0,0,0
AC093726.3,0,0,0,0,0,0
AC092628.2,0,0,0,0,0,0
AC092628.1,0,0,0,0,0,0
RN7SKP280,0,0,0,0,0,0
AC099552.1,0,0,0,0,0,0
AC099552.3,0,0,0,0,0,0
AC099552.5,0,0,0,0,0,0
AC099552.4,0,0,0,0,0,0
AC099552.2,0,0,0,0,0,0
AC144652.1,144,143,176,124,81,103
INSIG1,2239,2885,7250,2967,1485,1744
BLACE,0,0,0,0,0,0
AC008060.1,0,0,0,0,0,0
AC008060.4,6,0,0,0,0,0
AC008060.5,0,0,0,0,0,0
AC008060.3,0,0,0,0,0,0
EN2,11,0,4,0,36,4
CNPY1,0,0,0,0,0,0
AC009403.2,9,18,0,5,7,9
AC008060.2,0,0,0,0,0,0
AC009403.3,0,0,0,0,0,0
AC009403.1,64,63,33,72,33,46
RBM33,2887,2730,1454,2585,2327,2866
SHH,42,0,8,0,43,34
AC021218.1,0,0,0,0,0,0
AF093117.1,0,0,0,0,0,0
AC093813.1,0,0,0,0,0,0
LINC01006,496,467,347,497,395,344
LINC00244,0,0,0,0,0,0
AC005534.2,6,2,0,5,0,2
RNF32,28,33,20,26,28,30
AC005534.1,22,6,3,21,13,16
LMBR1,3407,2786,1979,2695,2979,2589
RNU4-31P,0,0,0,0,0,0
AC006357.1,0,0,0,0,0,0
NOM1,1141,1052,896,1028,829,1052
MNX1,4,11,0,1,12,0
MNX1-AS2,0,0,0,0,0,0
MNX1-AS1,0,0,0,0,0,0
AC006967.2,0,0,0,0,0,0
AC006967.1,0,0,0,0,0,0
AC006967.3,0,0,0,0,0,0
UBE3C,5859,5428,4441,5477,4204,6468
RPS27AP12,0,0,0,0,1,0
AC004898.1,3,4,0,1,0,2
AC004975.1,6,2,1,3,4,3
AC004975.2,0,0,0,0,0,0
DNAJB6,8062,8106,6162,8002,6116,8951
AC006372.3,0,0,0,2,0,0
AC006372.1,0,0,0,0,4,0
AC006372.2,1,0,6,6,0,8
AC006372.4,0,0,0,0,0,0
PTPRN2,16,25,24,33,12,16
MIR153-2,0,0,0,0,0,0
AC005481.1,0,0,0,0,0,0
AC006003.1,0,0,0,0,0,0
AC011899.2,0,0,0,0,0,0
AC011899.3,0,0,0,0,0,0
AC011899.4,0,0,0,0,0,0
AC011899.1,0,0,0,0,0,0
MIR595,0,0,0,0,0,0
AC078942.1,0,0,0,0,0,0
LINC01022,0,0,0,0,0,0
MIR5707,0,0,0,0,0,0
THAP5P1,5,3,0,3,3,1
NCAPG2,902,836,300,536,637,847
AC019084.1,0,0,0,0,0,0
ESYT2,3111,2632,2133,2363,2454,2811
WDR60,1264,1036,644,1056,980,1414
AC004863.1,0,15,6,2,0,2
LINC00689,6,3,2,7,7,2
VIPR2,285,216,285,196,309,254
AC007269.1,10,4,0,2,0,16
PIP5K1P2,0,0,0,0,0,0
AL954722.1,0,0,0,0,0,0
PLCXD1,1010,1052,590,700,719,769
GTPBP6,2548,2063,2208,2253,1776,1967
LINC00685,8,6,1,22,4,2
PPP2R3B,7499,6164,7482,6470,5580,6224
AL732314.8,8,9,10,7,27,3
AL732314.1,0,1,0,0,0,0
AL732314.6,4,1,0,2,0,2
FABP5P13,0,0,0,0,0,0
KRT18P53,0,0,0,0,0,0
SHOX,0,0,0,0,0,0
AL672277.1,0,0,0,0,0,0
RPL14P5,0,0,0,0,0,0
CRLF2,0,0,0,0,2,0
CSF2RA,124,100,92,119,98,259
MIR3690,0,0,2,0,0,0
RNA5SP498,0,0,0,0,0,0
IL3RA,414,429,299,552,259,329
SLC25A6,52187,40442,32306,34763,37331,41781
LINC00106,112,75,34,76,84,126
ASMTL-AS1,112,98,29,79,76,51
ASMTL,1821,1536,747,1032,1321,1439
P2RY8,0,0,2,1,0,2
AKAP17A,2886,2373,1449,2429,2210,2263
ASMT,0,0,0,0,2,0
AL683807.1,4,6,2,1,4,12
AL683807.2,0,0,0,0,0,0
DHRSX,1028,855,982,949,722,1211
DHRSX-IT1,1,2,1,1,2,2
ZBED1,2397,2019,1528,2043,1678,2245
MIR6089,0,0,0,0,0,0
CD99P1,108,63,38,49,51,67
LINC00102,4,0,10,0,2,2
CD99,11763,11717,10485,11860,8970,15603
XG,10,4,10,2,8,7
GYG2,1792,1551,1547,1612,1463,3084
GYG2-AS1,0,0,0,2,0,0
ARSD,1136,901,633,1007,751,1505
ARSD-AS1,0,0,0,0,0,0
ARSL,114,97,65,75,102,145
ARSH,0,2,0,0,0,0
ARSF,0,0,0,0,0,0
RN7SL578P,0,0,0,0,0,0
AC112653.1,0,0,0,0,0,0
LINC01546,2,0,0,0,0,0
MXRA5,469,144,48,151,297,617
ASS1P4,0,0,0,0,0,0
SNORA48B,0,0,0,0,0,0
RNU6-114P,0,0,0,0,0,0
PRKX,1391,1312,1154,1495,1140,1410
RNU6-146P,0,0,0,0,0,0
AC007685.2,0,0,0,0,2,0
PRKX-AS1,0,0,0,0,2,0
AC007685.1,2,0,0,0,8,0
BX890604.2,879,834,714,905,602,963
BX842570.1,59,54,42,83,39,43
BX890604.1,0,0,0,0,0,0
AC074035.1,0,0,0,0,0,0
MTND6P12,0,0,0,0,0,0
MTCYBP12,0,0,0,0,0,0
AC112656.1,3,1,0,0,0,1
AC095353.1,0,0,0,0,0,0
AC110995.1,0,0,0,0,0,0
NLGN4X,125,122,94,99,129,139
AC079173.1,0,0,0,0,0,0
MIR4770,0,0,0,0,0,0
AC078991.1,0,0,0,0,0,0
VCX3A,0,0,4,0,0,0
PUDP,1363,1316,1036,1307,1109,1944
RPS27AP17,0,0,0,0,0,0
AC073583.1,0,0,0,0,0,0
STS,390,498,482,472,343,713
MIR4767,9,7,6,6,9,4
AC120338.1,0,0,0,0,0,0
VCX,1,0,0,2,0,4
AC005296.1,0,0,0,0,0,0
PNPLA4,504,503,363,410,481,828
AC079142.1,54,49,29,58,49,71
MIR651,0,0,0,0,0,0
VCX2,0,0,0,0,0,0
VCX3B,6,0,3,2,15,6
AC006062.1,250,210,299,214,241,289
ANOS1,2211,1817,1784,2074,2049,2090
DRAXINP1,0,0,0,0,0,0
FAM9A,0,0,0,0,0,0
AC003685.2,0,0,0,0,0,0
AC003685.1,0,0,0,0,0,0
AC074281.2,0,0,0,0,0,0
AC074281.1,0,0,0,0,0,0
FAM9B,0,0,0,0,0,0
RNA5SP499,0,0,0,0,0,0
BRK1P1,0,0,0,0,0,0
AC003684.1,0,0,0,0,0,0
AC073488.1,0,0,0,0,0,0
AC073488.7,0,0,0,0,0,2
AC073488.9,0,0,2,0,0,0
AC073488.8,0,0,0,0,0,0
AC073488.10,0,0,0,0,0,0
AC073488.5,0,0,0,0,0,0
AC073488.11,0,0,0,0,0,0
AC073488.4,0,0,0,0,0,0
AC073488.3,0,0,0,0,0,0
AC073488.2,0,0,0,0,0,0
AC073488.6,0,0,0,0,0,4
TBL1X,1081,1287,941,1086,835,1307
GPR143,92,118,167,144,35,102
SHROOM2,3624,3920,3482,4656,2526,2557
EIF5P1,0,1,0,0,0,0
HMGN1P33,0,0,0,0,2,0
AC002365.1,0,0,0,0,0,0
CLDN34,0,1,15,1,4,8
WWC3,2763,2649,1873,2540,1867,2477
WWC3-AS1,0,2,0,0,0,0
AC002359.1,0,0,0,0,0,0
CLCN4,1277,1294,1213,1460,1028,1607
AC003666.1,0,0,0,0,0,0
MID1,4621,5886,5088,6626,3283,5232
RNU6-800P,0,0,0,0,0,0
AC073529.1,14,4,2,12,2,6
HCCS,1945,1829,1607,1849,1384,1747
AC003657.1,1,1,0,1,2,3
ARHGAP6,1557,1181,713,1280,1234,1028
AC003657.2,0,0,4,3,2,0
AC004467.1,2,0,0,0,0,2
AMELX,0,0,0,2,4,1
MIR548AX,0,0,0,1,0,0
AC002366.1,0,0,0,4,0,0
AC004554.2,33,9,24,19,33,12
AC004554.1,0,0,0,0,0,0
MSL3,1004,1087,817,981,923,1178
FRMPD4,137,80,51,70,85,190
AC002980.1,0,0,0,0,0,0
AC002981.1,0,0,0,0,0,0
FRMPD4-AS1,0,0,0,0,0,0
RPL17P49,0,0,0,0,0,0
AC119619.1,0,0,0,0,0,0
RN7SKP290,0,0,0,0,0,0
PRPS2,208,141,128,117,149,169
PSMA6P2,0,0,4,0,1,1
MRPL35P4,0,0,0,0,0,0
TLR7,0,2,0,0,0,0
TLR8-AS1,0,1,0,0,0,0
TLR8,0,0,0,0,0,0
TMSB4X,22159,23114,20057,21748,15074,33398
FAM9C,0,0,0,0,0,0
AC079171.1,0,0,0,0,0,0
LINC02154,0,0,0,0,0,10
AC004674.1,0,0,0,0,0,0
ATXN3L,0,0,0,0,0,0
AC004674.2,0,0,0,0,0,0
LINC01203,0,0,2,2,4,4
GPX1P1,172,127,126,246,137,99
EGFL6,125,10,23,10,138,70
RPL30P15,0,0,0,0,0,0
MIR6086,0,0,0,0,0,0
RN7SKP20,0,0,0,0,0,0
TCEANC,98,90,62,114,93,93
RAB9A,1101,975,970,1074,963,1003
TRAPPC2,517,493,516,554,431,282
OFD1,1003,1103,680,1192,939,1156
GPM6B,1226,701,333,653,934,626
AC003035.2,0,0,0,0,0,0
AC003035.1,0,0,0,0,0,0
GEMIN8,474,430,307,607,318,764
AC002524.1,170,150,127,122,126,308
GLRA2,0,0,0,0,0,0
NPM1P9,2,6,0,3,8,0
FANCB,36,58,22,30,39,25
MOSPD2,327,358,309,392,299,234
TPT1P14,0,0,0,0,0,0
AC112498.1,0,0,0,0,0,0
ASB9,0,2,2,0,0,0
ASB11,223,324,350,383,183,338
PIGA,274,331,330,292,234,196
VEGFD,3,4,2,2,0,0
PIR,194,252,177,148,167,419
BMX,2,0,4,0,0,0
ACE2,41,71,179,90,24,50
AC097625.2,1,0,4,3,6,14
AC097625.1,0,16,9,14,0,0
CLTRN,34,38,34,31,25,10
AC003669.1,0,0,0,0,0,0
CA5BP1,304,283,329,326,243,233
CA5B,118,109,77,89,99,87
AC112497.2,49,66,23,62,50,46
AC112497.1,0,0,0,0,2,0
INE2,0,0,0,0,0,0
ZRSR2,311,237,174,238,223,448
AP1S2,2818,2858,3163,3210,2466,1602
RNU5F-7P,0,0,0,0,0,0
SETP15,0,0,0,0,0,0
GRPR,16,9,4,13,3,13
AC078993.1,13,1,12,0,4,7
MAGEB17,3,0,2,0,0,2
RPL6P30,0,0,0,0,0,0
AC073909.1,0,0,0,0,0,0
RN7SL658P,0,0,0,0,0,0
CTPS2,1148,977,712,951,965,1156
MIR548AM,2,0,0,0,1,0
S100G,0,6,0,0,0,4
SYAP1,2319,2421,2021,2222,1872,2158
RNU7-56P,0,0,0,0,0,0
TXLNG,679,719,513,726,524,683
RPL12P49,0,0,0,0,0,0
RBBP7,5858,5927,3996,5530,4507,7564
RNU4-6P,0,0,0,0,0,0
AL929302.2,0,0,0,0,0,0
AL929302.1,0,0,0,0,0,0
REPS2,959,911,902,1090,778,1203
AL732371.1,0,0,0,0,0,0
CBX1P2,5,0,0,1,0,0
CBX1P4,0,0,0,0,0,0
