Geneid,NCH3_2_DAPT,NCH3_1_DAPT,NCH1_2_DAPT,NCH3_2_DMSO,NCH1_1_DAPT,NCH1_1_DMSO,NCH1_2_DMSO,NCH3_1_DMSON
RARRES2P2,0,0,0,0,0,0,0,0
AGGF1P2,4,4,10,0,0,0,0,0
CLUHP5,0,0,0,0,0,0,0,0
DUX4L28,0,0,0,0,0,0,0,0
DUX4L25,0,0,0,0,0,0,0,0
DUX4L24,0,0,0,0,0,0,0,0
DUX4L23,0,0,0,0,0,0,0,0
DUX4L22,0,0,0,0,0,0,0,0
DUX4L21,0,0,0,0,0,0,0,0
DUX4L20,0,0,0,0,0,0,0,0
DUX4L29,0,0,0,0,0,0,0,0
DUX4L10,0,0,0,0,0,0,0,0
DUX4L11,0,0,0,0,0,0,0,0
DUX4L12,0,0,0,0,0,0,0,0
DUX4L13,0,0,0,0,0,0,0,0
DUX4L14,0,0,0,0,0,0,0,0
DUX4L15,0,0,0,0,0,0,0,0
RPL23AP60,0,0,0,0,0,0,0,0
BX322534.1,0,0,0,0,0,0,0,0
DDX11L8,0,2,0,0,0,0,0,0
WASH8P,613,728,461,693,256,430,461,456
FAM138D,0,0,0,0,0,0,0,0
IQSEC3,10,27,32,28,2,22,47,5
AC026369.3,0,0,0,0,0,0,0,0
AC026369.1,0,0,4,4,0,0,0,0
AC026369.2,0,0,0,0,0,0,0,0
AC007406.3,12,5,2,0,0,0,0,1
SLC6A12,56,31,14,30,28,21,5,22
AC007406.1,3,0,0,0,0,0,0,2
AC007406.4,0,0,2,0,2,4,0,0
SLC6A13,227,199,10,227,99,137,30,168
AC007406.2,5,3,0,2,0,4,0,4
AC007406.5,528,464,267,526,528,563,290,258
KDM5A,2629,2472,2054,2073,2053,1763,2455,1131
CCDC77,276,299,1291,258,387,399,1101,192
B4GALNT3,9855,9122,1834,8568,9000,8380,5031,5631
NINJ2,139,98,14,116,80,95,66,34
AC006205.2,5,14,0,0,0,0,0,1
RNU7-103P,0,0,0,0,0,0,10,0
AC006205.1,0,0,0,2,0,0,0,0
NINJ2-AS1,176,171,67,229,65,51,83,368
LINC02455,2,18,0,22,8,18,17,11
WNK1,15238,14993,7260,14911,12370,12936,9882,8311
RNU4ATAC16P,5,0,0,0,0,0,0,0
AC004765.1,23,24,2,23,0,0,3,2
RAD52,454,390,586,348,354,367,492,306
AC004803.1,263,305,163,272,327,327,161,211
ERC1,6695,5897,1827,5472,4351,5336,2751,2854
HTR1DP1,2,0,2,14,0,2,0,0
AC004672.1,6,1,4,0,0,4,10,2
AC004672.2,0,0,0,0,3,0,0,0
LINC00942,30,35,6,59,8,4,13,27
WNT5B,5113,4642,1298,3899,3595,3861,2088,3831
FBXL14,459,407,1161,286,466,432,950,208
MIR3649,0,0,0,2,3,1,8,8
ADIPOR2,6314,5256,2816,4502,5428,5123,3161,4120
AC005183.1,6,2,0,0,16,0,0,1
AC005343.1,0,0,0,5,0,0,0,2
RPS4XP14,0,0,3,0,0,0,5,0
CACNA2D4,4,0,30,0,0,10,27,0
AC005343.4,0,0,0,0,0,0,0,0
LRTM2,0,0,3,0,4,0,8,0
AC005342.2,0,0,0,0,0,0,0,0
LINC00940,1,4,0,0,2,0,6,0
DCP1B,467,414,981,279,267,230,810,533
CACNA1C,15647,13435,1952,13414,10947,10994,4658,5098
AC005342.1,33,38,0,46,46,55,21,18
CACNA1C-IT1,29,17,4,6,5,12,8,6
CACNA1C-IT2,20,23,0,25,5,20,22,8
AC005344.1,4,10,0,5,4,0,3,4
CACNA1C-AS4,8,8,4,13,6,8,2,2
CACNA1C-IT3,6,12,0,8,4,0,1,0
AC005293.1,3,4,1,3,13,0,0,0
AC005414.1,28,16,1,2,4,6,0,0
CACNA1C-AS3,3,15,0,14,0,0,0,2
AC007618.1,0,5,0,0,0,1,4,0
CACNA1C-AS2,3,15,10,9,10,9,8,0
CACNA1C-AS1,102,103,2,51,30,50,17,35
ITFG2-AS1,1,1,0,20,5,5,0,8
AC092471.2,0,0,0,0,0,0,0,0
LINC02371,41,18,8,20,18,13,11,5
IQSEC3P1,8,0,0,4,0,0,0,0
AC092471.1,12,9,1,7,14,7,5,1
RPL23AP14,0,0,0,0,1,4,0,0
CBX3P4,1,3,1,0,4,0,5,4
FKBP4,3645,3506,3584,2953,2683,2904,4417,2480
AC005841.1,0,0,0,0,0,0,0,0
ITFG2,680,580,516,657,656,826,605,498
NRIP2,167,177,155,153,134,69,174,64
TEX52,21,35,15,54,26,24,19,18
FOXM1,868,1208,2221,695,1133,1174,2343,1067
RHNO1,1063,913,1398,772,1071,1240,1564,691
TULP3,620,577,981,622,760,906,1305,302
AC005911.1,7,15,16,4,9,37,15,4
RNU6-1315P,3,0,0,0,11,0,0,0
TEAD4,1733,1718,1362,1483,1630,1926,1861,1169
AC125807.2,932,704,383,689,864,855,604,279
AC125807.1,0,0,2,0,0,0,0,0
TSPAN9,20135,16521,3033,18084,15059,15765,6382,10539
AC005912.3,0,0,0,0,0,0,0,0
TSPAN9-IT1,0,2,0,2,0,0,0,0
AC005912.2,6,6,6,0,0,0,0,0
AC005912.1,1112,1327,3495,1172,1484,1773,3167,873
AC005865.1,107,42,4,43,56,38,5,19
AC005865.2,21,13,0,32,2,7,0,0
LINC02827,13,4,2,18,10,10,0,1
LINC02417,0,0,0,0,0,0,0,0
PRMT8,53,11,65,18,6,15,23,0
AC005908.2,0,0,0,0,0,0,0,0
AC005908.1,0,0,0,0,0,0,0,0
AC005908.3,29,8,10,3,12,4,0,2
CRACR2A,6,4,75,6,6,10,71,0
AC005831.1,0,0,32,0,0,0,14,2
RNU6-174P,0,0,0,0,0,0,0,0
AC006207.1,0,0,1,0,0,0,0,0
PARP11,243,332,677,255,257,382,639,192
OTUD4P1,1,2,6,0,2,1,5,0
AC005842.1,16,5,38,21,14,11,4,14
AC084375.1,0,0,202,0,0,19,180,0
HSPA8P5,0,3,1,0,1,1,3,1
AC007207.1,0,0,0,0,0,0,0,0
CCND2-AS1,216,244,36,256,146,134,71,119
CCND2,5988,4950,4288,4897,4821,4455,5019,2245
AC008012.1,0,0,0,0,0,0,0,0
TIGAR,832,542,373,502,920,584,460,305
AC006122.1,2,0,3,0,0,10,0,0
FGF23,2,0,16,8,2,4,10,2
FGF6,7,0,0,0,0,4,0,0
C12orf4,872,1103,709,821,735,762,800,673
RAD51AP1,453,551,1452,311,637,583,1195,326
DYRK4,749,599,545,560,586,675,707,478
AC005832.2,0,0,0,0,0,0,0,0
AC005832.4,0,0,0,0,0,0,0,0
AKAP3,37,32,50,62,52,63,52,32
AC005832.3,0,0,0,0,0,0,0,1
AC005832.1,0,0,1,0,0,2,0,4
NDUFA9,1091,897,415,535,926,772,440,639
AC005833.1,2,0,14,0,5,9,16,0
GAU1,12,60,37,34,25,81,56,10
GALNT8,71,77,28,69,87,37,75,65
AC005833.2,0,2,0,0,4,0,4,8
KCNA6,0,0,0,0,0,0,0,0
AC006063.1,1,2,0,0,0,0,0,0
AC006063.3,6,0,0,0,0,0,0,0
AC006063.4,0,0,0,0,0,0,0,0
AC005906.2,28,5,10,0,0,0,0,0
KCNA1,40,17,0,18,4,10,2,0
AC006063.2,0,0,0,2,0,0,0,0
AC005906.1,2,0,0,0,0,0,0,0
KCNA5,762,666,93,374,372,177,355,738
AC005906.3,8,0,0,0,0,0,0,0
LINC02443,0,0,8,0,2,0,8,0
AC006206.2,11,5,40,4,9,8,63,5
AC006206.1,0,0,4,0,0,0,0,0
AC007848.2,0,0,18,2,0,0,0,0
AC007848.1,0,2,20,0,2,0,47,0
NTF3,48,16,188,10,49,63,190,24
ANO2,0,0,12,0,6,14,14,8
AC137627.1,0,0,0,0,0,0,0,0
VWF,0,2,86,0,22,0,176,9
RN7SL69P,0,0,0,0,0,0,0,0
AC005845.1,0,2,4,0,0,0,1,0
CD9,104,177,1394,87,183,472,1472,54
AC006057.1,0,0,0,0,0,0,6,0
ATP5MFP5,0,0,0,0,0,0,0,0
PLEKHG6,4,8,140,10,56,34,159,2
TNFRSF1A,983,1353,1721,1071,1079,1098,2176,915
RN7SL391P,0,0,0,0,0,0,0,0
SCNN1A,4,0,371,4,17,46,380,0
LTBR,18,5,68,16,20,14,192,2
AC005840.2,0,0,0,0,0,0,0,0
AC005840.1,6,6,11,2,8,7,16,1
SRP14P1,0,0,0,2,0,0,0,0
CD27-AS1,283,358,167,213,169,193,181,229
CD27,2,5,6,8,0,1,7,8
TAPBPL,86,51,54,63,24,8,26,34
VAMP1,254,211,345,217,269,208,367,246
AC005840.4,6,0,4,2,2,2,4,2
AC005840.3,2,5,0,0,4,4,5,2
MRPL51,1848,1904,3470,1612,2110,2389,2776,1695
NCAPD2,2705,3007,6703,2140,2511,2899,7019,1786
SCARNA10,0,0,0,0,0,0,0,0
AC006064.5,0,0,0,0,0,0,0,0
AC006064.3,7,11,4,8,3,16,3,16
GAPDH,62506,68444,72764,54768,68221,67899,118206,64203
AC006064.4,0,0,0,0,0,0,0,0
IFFO1,756,864,1002,664,610,847,1298,634
AC006064.1,8,2,2,3,14,5,0,0
NOP2,15,27,22,23,26,29,28,32
AC006064.6,0,0,0,0,0,0,0,0
CHD4,1186,977,1422,980,1002,1033,1571,888
AC006064.2,2,12,1,6,2,1,5,4
SCARNA11,0,0,0,0,4,0,0,0
LPAR5,14,12,16,12,20,24,44,8
ACRBP,16,18,29,4,10,2,28,8
ING4,1514,1842,1322,1570,1580,1672,1086,1168
AC125494.1,8,0,2,0,0,6,5,6
ZNF384,713,825,790,685,650,915,950,512
PIANP,90,250,241,69,64,32,274,214
RNU6-781P,0,0,0,0,0,0,0,0
AC125494.3,0,0,9,0,0,4,0,0
COPS7A,2523,2250,1315,2072,2279,2355,1883,1765
AC125494.2,12,4,17,0,0,2,2,2
MLF2,9228,7732,7425,6948,8604,8189,8718,6725
PTMS,11030,10378,20581,7602,10711,10755,19663,6755
LAG3,4,0,130,0,6,12,129,0
RN7SL380P,0,0,0,0,0,0,0,0
CD4,22,27,224,91,35,42,327,24
GPR162,641,562,646,428,554,585,668,546
P3H3,530,534,2159,473,450,535,2673,125
GNB3,47,45,298,44,32,41,374,34
CDCA3,557,730,1241,476,750,747,1164,434
USP5,5571,5260,5038,4597,5675,5685,6324,4608
TPI1,24772,23392,37441,18167,23009,22405,50763,23483
SPSB2,114,150,693,105,148,155,429,84
RPL13P5,43,40,75,5,28,33,148,21
LRRC23,446,377,192,325,335,310,187,251
DSTNP2,47,68,189,54,57,53,140,32
U47924.3,12,0,12,0,1,1,7,0
ENO2,743,861,3335,574,596,687,4381,1450
ATN1,5950,6062,4882,5248,5635,5956,5541,3349
C12orf57,459,652,1194,487,615,617,997,403
U47924.2,2,0,9,6,6,2,14,0
RNU7-1,0,0,0,0,0,0,0,0
PTPN6,39,97,462,111,141,239,465,104
MIR200CHG,0,0,6,0,2,0,10,0
MIR200C,0,0,0,0,0,0,0,0
MIR141,0,0,0,0,0,0,0,0
U47924.1,0,0,4,4,0,0,0,0
PHB2,4076,4442,12105,3571,5884,6734,12184,3564
SCARNA12,0,0,0,0,0,0,0,0
EMG1,695,770,1441,487,695,745,1390,354
LPCAT3,532,554,358,585,466,486,479,302
C1S,1925,1629,478,1227,2274,1893,607,919
AC006512.1,0,0,0,0,0,0,0,0
AC006512.2,0,0,6,0,0,0,0,0
C1R,209,118,271,152,238,213,322,25
C1RL,88,173,689,55,114,160,714,50
C1RL-AS1,4,0,79,5,19,21,64,0
RBP5,4,2,15,0,10,5,48,6
RNU6-485P,0,0,0,0,0,0,0,0
AC018653.3,1,0,15,0,7,0,15,0
CLSTN3,1121,1242,1642,815,911,955,1955,596
AC018653.4,0,2,4,0,0,1,0,0
AC018653.1,0,0,0,0,1,0,0,0
PEX5,1654,1483,1666,1231,1138,1332,1644,963
AC018653.2,0,0,0,0,0,0,0,0
ACSM4,7,0,0,0,0,0,0,0
CD163L1,20,5,12,6,16,4,0,16
AC131206.1,35,40,16,37,8,16,3,54
CD163,0,0,2,0,0,18,2,2
GAPDHP31,0,0,0,0,0,0,0,0
NIFKP3,0,2,2,0,0,0,0,0
AC006927.1,0,0,0,0,0,0,0,0
AC006927.2,0,0,0,0,0,0,0,0
AC006927.4,0,0,0,0,0,0,0,0
AC006927.3,0,0,0,0,0,0,0,0
AC006927.5,0,0,0,0,0,0,0,0
APOBEC1,0,0,0,0,0,0,0,0
GDF3,2,12,596,2,8,353,1015,0
DPPA3,2,14,1546,0,34,568,1072,0
CLEC4C,0,0,0,0,0,0,9,0
NANOGNB,0,0,0,0,0,0,0,2
AC006517.2,0,0,0,0,0,0,0,0
NANOG,4,21,1026,9,33,319,986,0
AC006517.1,0,0,1,0,0,0,0,0
SLC2A14,3,4,221,0,64,55,209,5
AC006517.6,0,0,3,0,0,0,31,2
AC006517.3,0,0,0,0,0,0,0,0
AC006517.5,0,0,0,0,0,0,0,0
AC006517.4,0,0,0,0,0,0,0,0
AC124891.1,0,0,0,0,0,0,0,0
NANOGP1,0,0,99,0,10,31,44,0
AC007536.1,0,0,1,0,0,0,0,0
SLC2A3,4074,4578,8158,2602,2577,3079,10048,5657
AC006511.7,0,0,3,0,0,0,11,0
AC006511.1,0,0,0,0,0,0,0,0
AC006511.2,0,0,0,1,0,0,0,2
AC006511.5,0,0,0,0,0,0,0,0
HSPD1P12,0,2,4,2,4,0,4,1
AC006511.3,0,3,2,0,0,4,0,0
FOXJ2,1945,1797,971,1556,1689,1506,1245,1115
C3AR1,0,0,0,6,0,4,4,0
NECAP1,1283,1114,738,1105,1038,1144,850,875
AC006511.4,23,6,24,5,11,20,22,10
AC006511.6,1,0,1,2,2,0,0,0
CLEC4A,0,0,4,0,0,0,0,0
POU5F1P3,14,2,143,7,13,4,142,0
AC092111.3,0,0,0,0,0,0,0,0
GCSHP4,0,0,0,0,0,0,0,0
ZNF705A,0,0,0,2,0,0,0,4
FAM66C,21,69,98,42,64,63,78,32
DEFB109F,2,0,2,1,1,7,0,0
AC092111.2,0,2,0,0,4,2,0,0
AC092111.1,0,14,20,10,2,37,44,9
FAM90A1,0,0,28,24,14,25,14,5
ALG1L10P,0,22,8,2,1,9,8,0
FAM86FP,13,17,44,27,7,13,42,21
LINC02449,5,40,39,7,4,4,26,2
AC092745.5,0,0,24,0,0,2,0,3
ENPP7P5,0,0,0,4,0,0,0,1
AC092745.4,10,13,4,12,3,11,22,6
LINC00937,24,8,93,5,0,3,90,14
AC092745.2,4,0,14,3,0,0,6,9
AC092745.1,2,0,6,1,1,0,0,2
AC092745.3,0,0,0,0,0,2,0,2
RPS3AP43,0,1,0,0,0,0,2,4
AC092865.4,0,0,0,0,0,0,0,0
AC092865.3,0,0,0,0,0,0,0,0
AC092865.2,0,0,0,0,0,0,0,0
OR7E140P,0,0,0,0,0,0,0,0
OR7E148P,0,0,0,0,0,0,0,0
OR7E149P,0,0,0,0,0,0,0,0
CLEC6A,6,4,6,2,0,0,1,0
AC092865.1,0,0,2,0,0,0,0,0
RNU6-275P,0,0,0,0,0,0,0,0
CLEC4D,13,51,21,21,4,10,16,14
SUPT4H1P2,0,0,0,0,0,0,4,1
CLEC4E,0,0,0,0,3,3,0,2
AC092746.1,0,0,0,0,0,0,3,0
AC092184.1,0,0,0,0,0,0,0,0
AC092184.2,0,0,0,0,0,0,0,0
AICDA,0,0,17,2,0,0,17,4
AC092184.3,0,0,0,0,0,0,0,0
HADHAP2,16,10,4,20,16,19,3,7
MFAP5,97,71,61,54,478,164,89,6
AC092490.2,0,0,0,0,0,0,0,0
AC092490.3,0,0,0,0,0,0,0,0
RIMKLB,3901,3684,3969,3230,3831,4551,4873,2364
RPSAP51,0,0,0,0,0,0,12,0
A2ML1-AS1,0,0,0,0,0,2,0,0
AC092490.1,94,80,726,44,190,135,965,220
A2ML1-AS2,0,0,0,2,0,0,0,0
A2ML1,11,4,22,4,12,14,32,3
AC006581.2,2,8,0,6,12,12,4,0
PHC1,2087,2228,2759,2301,2163,2837,3198,1450
M6PR,2471,2213,2368,1859,2336,2120,2206,1531
KLRG1,69,95,72,24,49,60,46,45
AC006581.1,0,0,0,0,0,1,0,0
HNRNPA1P34,8,3,0,4,0,0,0,0
VDAC2P2,0,3,0,0,0,0,0,0
LINC00612,16,11,10,6,2,13,10,4
A2M-AS1,48,58,45,47,81,116,39,51
A2M,3021,7679,2475,6702,5074,8716,6196,2525
KRT17P8,6,6,0,12,0,2,0,4
BTG1P1,7,0,2,7,0,0,4,1
PZP,5,13,6,27,6,2,10,5
TPT1P12,0,0,0,0,0,0,0,0
A2MP1,47,10,2,26,6,15,0,9
MIR1244-3,7,4,32,6,5,1,33,9
PTMAP4,12,1,19,3,3,1,10,1
LINC00987,7,12,4,6,3,7,4,4
AC010175.1,3,4,3,9,0,0,2,4
AC009533.1,94,126,411,136,147,122,443,63
AC009533.2,0,3,0,0,0,0,0,0
AC009533.3,7,0,3,0,0,0,2,0
AC009533.4,0,0,0,0,0,0,0,0
LINC02367,2,0,67,10,4,2,18,3
AC009533.5,0,0,0,0,0,0,1,0
AC141557.1,0,6,106,17,8,26,62,8
AC141557.2,0,12,92,0,1,6,36,2
DDX12P,123,162,495,127,120,182,486,90
AC092821.1,0,0,2,0,0,0,0,0
AC092821.4,6,28,16,3,4,12,2,1
AC092821.2,24,41,10,26,0,0,0,14
AC092821.3,0,0,0,0,0,0,0,0
KLRB1,1,4,10,0,0,0,7,0
RNU6-700P,0,0,0,0,1,0,0,0
GOT2P3,1,14,0,0,0,0,0,0
AC010186.4,0,0,0,0,0,0,0,0
AC010186.1,6,0,2,2,0,2,12,5
AC010186.2,21,63,48,58,37,78,45,49
AC010186.3,117,138,145,95,63,118,131,106
CLEC2D,335,367,344,424,259,198,456,491
AC007068.1,0,0,0,0,0,0,0,0
LINC02390,0,0,0,0,0,0,2,0
CLECL1,0,14,0,0,0,0,0,2
CD69,0,0,0,0,0,0,0,0
GCNAP1,0,0,0,0,0,0,0,0
KLRF1,0,0,0,0,0,0,0,0
CLEC2B,2,2,0,0,0,0,0,0
AC091814.1,0,0,0,0,0,0,0,0
KLRF2,24,20,4,62,17,7,4,4
CLEC2A,27,20,0,16,18,18,2,6
LINC02470,0,0,0,0,0,0,0,0
CLEC12A-AS1,0,2,0,0,1,0,0,0
CLEC12A,0,0,0,0,0,0,0,0
CLEC1B,0,0,2,0,0,0,0,0
CLEC12B,0,0,0,0,0,0,0,0
AC024224.2,0,0,0,0,0,0,0,4
CLEC9A,0,0,0,0,0,2,0,0
AC024224.1,0,0,0,0,0,0,0,0
CLEC1A,0,0,2,0,0,0,4,0
RN7SKP161,0,0,0,0,0,0,0,0
HNRNPABP1,0,0,2,0,0,1,1,0
CLEC7A,4,4,8,0,0,6,6,10
OLR1,18,34,48,4,89,80,44,20
TMEM52B,0,0,4,0,6,3,4,0
GABARAPL1,3672,3744,1974,2966,3269,3053,2745,3233
AC115676.1,0,0,0,0,0,0,0,0
KLRD1,28,17,4,25,0,14,12,8
LINC02617,2,0,97,0,9,13,56,0
LINC02598,4,0,0,4,0,0,2,0
AC022075.1,4,15,26,12,4,6,15,0
KLRK1,0,0,4,0,6,0,4,0
KLRC4-KLRK1,0,0,0,0,0,0,1,0
KLRC4,0,0,0,0,0,0,0,4
KLRC3,0,0,0,0,0,0,0,0
AC068775.1,0,0,0,0,0,0,0,0
KLRC2,0,0,0,0,0,0,0,2
KLRC1,0,0,0,0,0,0,0,0
EIF2S3B,182,197,281,123,133,163,270,122
SLC25A39P2,0,0,0,0,0,0,0,0
LINC02446,0,0,2,0,2,4,0,2
KLRA1P,125,105,184,65,92,64,208,46
MAGOHB,444,342,1101,331,497,530,1086,230
STYK1,2,4,10,4,6,12,20,0
YBX3,7393,8255,7238,6979,6116,7579,9096,6301
LINC02366,0,0,2,0,0,0,0,0
HSPE1P12,0,0,0,0,0,0,0,0
TAS2R7,0,4,0,0,0,0,0,0
TAS2R8,0,2,0,0,0,0,0,0
TAS2R9,0,0,0,0,0,8,0,0
PRH1,23,23,21,28,25,20,12,15
TAS2R10,12,5,12,4,29,20,9,0
AC006518.1,9,7,0,10,21,2,0,2
PRR4,27,13,25,33,39,45,35,15
AC018630.2,0,0,0,0,0,0,0,0
AC006518.2,6,3,2,6,3,1,10,4
TAS2R13,4,6,4,12,8,10,4,2
PRH2,10,6,6,0,12,10,4,4
TAS2R14,46,46,50,56,70,74,32,18
TAS2R15P,45,28,41,17,68,54,25,33
TAS2R50,0,4,4,1,0,16,0,0
TAS2R20,8,15,27,12,2,18,53,1
TAS2R19,19,6,10,13,45,39,5,1
TAS2R31,59,16,5,12,21,22,11,4
TAS2R63P,0,3,2,0,0,0,0,0
TAS2R46,4,6,0,6,0,0,2,0
TAS2R64P,0,12,0,0,0,0,0,0
TAS2R43,0,8,0,1,0,0,0,0
AC018630.1,0,0,0,0,0,0,0,0
TAS2R30,8,4,0,10,0,0,0,0
AC134349.2,0,13,0,0,8,3,0,0
AC134349.1,4,0,0,0,0,4,0,2
SMIM10L1,2158,1845,1233,1587,2050,1977,1433,1349
TAS2R42,0,2,0,0,4,0,2,0
AC244131.1,0,0,0,0,0,0,0,0
AC244131.2,0,0,0,0,0,8,0,2
PRB3,0,2,13,0,1,0,6,0
PRB4,0,0,0,0,0,0,0,0
PRB1,0,0,0,0,0,0,0,0
PRB2,2,0,3,0,0,0,0,0
AC078950.1,0,0,0,0,2,0,0,0
HIGD1AP8,0,0,0,0,0,0,0,0
AC007450.4,0,0,0,0,4,0,0,1
AC007450.3,0,0,5,0,0,0,0,0
DDX55P1,0,0,0,0,4,0,4,0
AC007450.2,0,0,0,0,0,0,0,0
AC007450.1,0,0,0,0,0,0,0,0
RNU7-60P,0,0,0,0,0,0,0,0
LINC01252,30,4,27,18,12,15,45,6
ETV6,897,940,748,682,941,796,949,587
BCL2L14,5,4,28,25,16,13,11,0
PTMAP9,2,3,4,6,4,6,17,0
MIR1244-4,0,0,0,0,0,0,0,0
LRP6,3058,2634,2953,2378,2264,2072,2813,1236
AC007537.1,2,4,1,6,0,2,0,0
RNU6-545P,0,0,1,4,3,0,0,0
AC007621.1,0,0,0,0,0,0,0,0
RNU6-318P,0,0,0,0,0,0,0,0
MANSC1,624,660,467,529,657,557,682,470
RPL23AP66,0,0,0,1,0,8,0,0
LOH12CR2,91,54,24,64,61,73,20,53
BORCS5,470,507,409,421,331,392,619,382
AC007619.2,0,2,0,0,0,0,0,0
DUSP16,1923,2355,2286,2050,2149,2580,2564,1546
AC007619.1,12,4,0,0,2,2,0,0
AC092824.1,0,0,0,0,0,0,0,0
CREBL2,1202,1155,1291,766,949,1002,1108,772
RPL21P136,1,0,0,0,0,4,0,0
AC008115.4,2,8,4,4,3,0,1,0
GPR19,2,17,445,1,21,35,361,10
AC008115.2,0,2,0,0,0,0,1,0
CDKN1B,2262,2366,2677,1819,2966,2933,2995,1447
AC008115.3,7,2,10,6,8,13,14,1
AC008115.1,0,0,0,2,0,0,0,0
APOLD1,405,379,183,237,249,225,258,230
MIR613,0,4,0,0,0,0,0,0
STX8P1,0,6,7,0,0,0,0,0
DDX47,79,99,38,52,58,73,58,32
AC007215.1,0,0,0,0,0,0,0,0
AC007688.2,3,5,16,1,4,9,17,8
RPL13AP20,14,18,88,6,21,28,47,17
GPRC5A,603,452,178,300,1129,655,220,165
MIR614,0,0,0,0,0,0,0,0
GPRC5D-AS1,33,20,45,20,36,43,61,4
GPRC5D,3,0,10,16,16,23,11,0
AC007688.3,0,0,2,0,0,0,0,0
AC007688.1,0,0,0,0,0,0,1,0
HEBP1,2625,1943,892,1796,2295,2041,999,1317
HTR7P1,57,47,138,59,191,175,107,18
AC023790.2,0,0,6,0,0,0,0,0
AC023790.1,0,0,0,0,0,0,0,0
FAM234B,704,378,387,291,519,283,424,232
GSG1,145,96,15,34,931,358,0,13
EMP1,18,46,378,46,128,40,563,20
AC022276.1,0,0,0,0,0,0,0,0
LINC01559,0,0,85,0,3,30,62,0
GRIN2B,40,62,21,48,333,197,36,24
RNA5SP353,0,0,0,0,0,0,0,0
RNU6-590P,0,0,0,0,0,0,0,0
AC007527.1,0,0,0,0,0,0,0,0
AC007527.2,0,0,0,0,0,0,0,0
AC007535.1,0,0,0,0,0,0,0,0
RN7SKP162,0,0,0,0,0,0,0,0
AC092470.1,0,0,0,0,0,0,0,0
AC135001.1,0,0,0,0,0,0,0,0
AC092112.1,0,0,0,0,0,0,0,0
MRPS18CP4,0,0,0,0,0,0,0,0
RNU6-491P,0,0,0,0,0,0,0,0
GNAI2P1,0,0,0,0,0,0,0,0
RPL30P11,0,0,2,0,0,0,0,0
ATF7IP,6399,5800,5732,4897,5169,5653,7052,2425
PLBD1,219,280,383,184,112,158,509,368
AC008114.1,8,1,0,0,0,0,0,4
RN7SKP134,0,4,0,0,0,0,0,0
PLBD1-AS1,54,61,18,23,22,17,9,66
GUCY2C,5,15,25,12,6,9,23,5
AC010168.1,0,0,0,0,4,0,2,2
AC010168.2,114,96,44,128,131,115,57,61
H4-16,70,61,43,62,66,89,30,45
H2AJ,591,836,1292,669,730,912,1275,723
WBP11,3755,3212,3908,3190,3175,3824,4830,2554
C12orf60,20,4,105,25,30,27,101,7
SMCO3,0,3,0,2,0,0,0,2
AC007655.2,0,0,0,0,0,0,4,0
ART4,50,6,13,4,20,7,32,0
AC007655.1,0,0,0,0,0,0,0,0
MGP,195,349,132,758,76,191,994,7
ERP27,17,2,2,16,4,19,6,1
ARHGDIB,274,171,167,173,382,320,641,68
PDE6H,0,0,0,0,0,0,0,0
LINC01489,18,31,0,4,32,15,0,28
RERG,94,96,162,123,93,97,126,152
RERG-IT1,0,3,2,4,0,0,0,6
RERG-AS1,0,7,0,2,0,2,0,0
METTL8P1,1,0,2,0,0,2,0,6
PTPRO,11,6,10,13,0,10,0,2
AC092183.1,0,0,0,0,0,0,0,0
EPS8,2129,1350,285,1332,2253,2207,524,215
RNU6-251P,0,0,0,0,0,0,0,0
AC073651.1,0,0,0,0,0,0,0,0
AC073651.2,0,0,0,0,0,0,0,0
STRAP,8470,6809,7162,5868,7510,6919,8053,4058
DERA,655,575,1762,473,555,501,1661,389
EGLN3P1,4,0,0,0,12,0,10,0
SLC15A5,0,0,0,0,0,0,0,0
MGST1,2288,1724,1818,998,3278,2484,2047,1813
SUPT16HP1,32,14,45,12,22,33,34,14
AC007528.1,0,0,0,0,0,0,0,0
AC007552.1,0,0,0,0,0,0,0,0
LMO3,324,303,150,309,389,480,130,60
AC007552.2,2,1,7,0,2,0,0,0
AC007529.2,2,0,2,0,0,0,2,0
AC007529.1,0,0,6,0,0,0,0,0
AC023512.1,0,0,2,0,3,2,0,1
EEF1A1P16,0,2,0,8,0,7,4,4
AC092793.1,0,0,3,0,0,0,0,0
RNU6-837P,0,0,0,0,0,0,0,0
AC092110.1,0,0,0,0,0,0,0,0
RPL7P40,0,0,0,0,0,0,0,0
PSMC1P8,0,0,0,0,0,0,0,0
TIMM17BP1,0,0,0,0,0,0,0,0
AC048352.1,0,0,0,0,0,0,0,0
LINC02378,4,0,0,0,0,0,0,1
MIR3974,0,0,0,0,0,0,0,0
AC087321.1,0,0,0,0,0,0,0,0
RERGL,2,16,14,0,8,12,2,12
PIK3C2G,2,4,3,4,2,0,4,6
NDFIP1P1,0,0,0,0,0,0,0,0
AC092851.1,4,0,2,0,0,0,0,0
ZKSCAN7P1,0,0,0,0,0,0,0,0
PLCZ1,0,0,0,0,0,0,0,0
PSMC1P9,3,9,3,0,2,1,3,2
AC087242.1,0,0,0,0,0,0,0,0
CAPZA3,0,0,0,0,0,0,0,0
RPL7P6,1,1,1,0,0,4,2,6
MEF2BNBP1,0,0,0,0,0,0,0,0
PLEKHA5,2771,3342,2556,2622,3252,3280,3792,2485
AC092828.1,8,12,9,2,15,2,0,5
