"","Metabolic_activity","compound","taxonomy.ID"
"2364","Production (export)","C02632","Alistipes putredinis"
"2365","Production (export)","C02632","Anaerostipes caccae"
"2366","Production (export)","C02632","Bacteroides thetaiotaomicron"
"2367","Production (export)","C02632","Blautia hydrogenotrophica"
"2368","Consumption (import)","C02632","Butyrivibrio crossotus"
"2369","Consumption (import)","C02632","Butyrivibrio fibrisolvens"
"2370","Consumption (import)","C02632","Butyrivibrio proteoclasticus"
"2371","Production (export)","C02632","Catenibacterium mitsuokai"
"2372","Production (export)","C02632","Acetoanaerobium sticklandii"
"2374","Consumption (import)","C02632","Fibrobacter succinogenes"
"2375","Consumption (import)","C02632","Geobacter metallireducens"
"2376","Production (export)","C02632","Odoribacter splanchnicus"
"2377","Production (export)","C02632","Peptostreptococcus anaerobius"
"2378","Consumption (import) & production (export)","C02632","Prevotella ruminicola"
"2379","Production (export)","C02632","Pyramidobacter piscolens"
"2380","Consumption (import)","C02632","Ruminococcus albus"
"2381","Consumption (import)","C02632","Ruminococcus bromii"
"2382","Consumption (import)","C02632","Ruminococcus flavefaciens"
"2383","Consumption (import)","C00252","Bifidobacterium adolescentis"
"2384","Consumption (import)","C00252","Bifidobacterium breve"
"2385","Consumption (import)","C00252","Bifidobacterium longum"
"2386","Production (export)","C01845","Clostridium beijerinckii"
"2387","Consumption (import)","C08262","Achromobacter piechaudii"
"2388","Consumption (import)","C08262","Acidovorax avenae"
"2389","Consumption (import)","C08262","Acidovorax delafieldii"
"2390","Production (export)","C08262","Alistipes putredinis"
"2391","Production (export)","C08262","Anaerostipes caccae"
"2392","Production (export)","C08262","Bacteroides ovatus"
"2393","Production (export)","C08262","Bacteroides thetaiotaomicron"
"2394","Production (export)","C08262","Blautia hydrogenotrophica"
"2395","Consumption (import)","C08262","Butyrivibrio crossotus"
"2396","Consumption (import)","C08262","Butyrivibrio fibrisolvens"
"2397","Consumption (import)","C08262","Butyrivibrio proteoclasticus"
"2398","Production (export)","C08262","Acetoanaerobium sticklandii"
"2400","Consumption (import)","C08262","Desulforapulum autotrophicum"
"2401","Consumption (import)","C08262","Geobacter metallireducens"
"2402","Production (export)","C08262","Odoribacter splanchnicus"
"2403","Production (export)","C08262","Peptostreptococcus anaerobius"
"2404","Consumption (import) & production (export)","C08262","Prevotella ruminicola"
"2405","Production (export)","C08262","Pyramidobacter piscolens"
"2406","Consumption (import)","C08262","Ruminococcus bromii"
"2407","Consumption (import)","C08262","Ruminococcus flavefaciens"
"2408","Production (export)","C08262","Staphylococcus aureus"
"2409","Consumption (import)","C00490","Achromobacter piechaudii"
"2411","Consumption (import)","C00041, C00133","Aminobacterium colombiense"
"2412","Consumption (import)","C00041, C00133","Candidatus Baumannia cicadellinicola"
"2413","Consumption (import)","C00041, C00133","Clostridium botulinum"
"2414","Consumption (import)","C00041, C00133","Clostridioides difficile"
"2415","Consumption (import)","C00041, C00133","Clostridium sporogenes"
"2417","Production (export)","C00041, C00133","[Eubacterium] rectale"
"2418","Consumption (import)","C00041, C00133","Methylobacterium nodulans"
"2419","Consumption (import)","C00041, C00133","Streptococcus equinus"
"2420","Consumption (import)","C00532, C01904","Acidovorax avenae"
"2421","Consumption (import)","C00532, C01904","Acidovorax delafieldii"
"2422","Consumption (import)","C00532, C01904","Actinobacillus succinogenes"
"2424","Consumption (import)","C00532, C01904","Klebsiella pneumoniae"
"2425","Consumption (import)","C00062","Aeromicrobium marinum"
"2426","Consumption (import)","C00062","Anaerococcus lactolyticus"
"2427","Consumption (import)","C00062","Anaerococcus prevotii"
"2428","Consumption (import)","C00062","Anaerococcus tetradius"
"2429","Consumption (import)","C00062","Anaerococcus vaginalis"
"2430","Consumption (import)","C00062","Candidatus Baumannia cicadellinicola"
"2431","Consumption (import)","C00062","Clostridium botulinum"
"2432","Consumption (import)","C00062","Clostridioides difficile"
"2433","Consumption (import)","C00062","Clostridium perfringens"
"2434","Consumption (import)","C00062","Clostridium sporogenes"
"2435","Consumption (import)","C00062","Clostridium tetani"
"2437","Production (export)","C00062","Corynebacterium glutamicum"
"2438","Consumption (import)","C00062","Enterococcus faecalis"
"2439","Consumption (import)","C00062","Finegoldia magna"
"2440","Consumption (import)","C00062","Peptoniphilus harei"
"2441","Consumption (import)","C00062","Peptoniphilus lacrimalis"
"2442","Consumption (import)","C00062","Streptococcus salivarius"
"2443","Consumption (import)","C00062","Sutterella wadsworthensis"
"2444","Consumption (import)","C00152","Acetohalobium arabaticum"
"2446","Consumption (import)","C00152","Deinococcus radiodurans"
"2447","Consumption (import)","C00152","Fibrobacter succinogenes"
"2448","Consumption (import)","C00152","Prevotella ruminicola"
"2449","Consumption (import)","C00152","Ruminococcus albus"
"2450","Consumption (import)","C00152","Ruminococcus flavefaciens"
"2451","Consumption (import)","C00049, C00402","Acetohalobium arabaticum"
"2452","Consumption (import)","C00049, C00402","Aminobacterium colombiense"
"2453","Consumption (import)","C00049, C00402","Candidatus Baumannia cicadellinicola"
"2454","Consumption (import)","C00049, C00402","Clostridium botulinum"
"2455","Consumption (import)","C00049, C00402","Clostridioides difficile"
"2456","Consumption (import)","C00049, C00402","Clostridium perfringens"
"2457","Consumption (import)","C00049, C00402","Lacrimispora saccharolytica"
"2458","Consumption (import)","C00049, C00402","Clostridium sporogenes"
"2459","Consumption (import)","C00049, C00402","Clostridium tetani"
"2461","Production (export)","C00049, C00402","Corynebacterium glutamicum"
"2462","Consumption (import)","C00049, C00402","[Eubacterium] rectale"
"2463","Consumption (import)","C00049, C00402","Fusobacterium nucleatum"
"2464","Consumption (import)","C00049, C00402","Methylobacterium nodulans"
"2465","Consumption (import)","C00049, C00402","Streptococcus salivarius"
"2466","Consumption (import)","C00049, C00402","Sutterella wadsworthensis"
"2468","Consumption (import)","C00097, C00793","Bacteroides fragilis"
"2469","Consumption (import)","C00097, C00793","Bacteroides thetaiotaomicron"
"2470","Consumption (import)","C00097, C00793","Phocaeicola vulgatus"
"2472","Consumption (import)","C00097, C00793","Fibrobacter succinogenes"
"2473","Consumption (import)","C00097, C00793","Fusobacterium nucleatum"
"2474","Consumption (import)","C00097, C00793","Parabacteroides distasonis"
"2475","Consumption (import)","C00097, C00793","Prevotella ruminicola"
"2476","Consumption (import)","C00097, C00793","Ruminococcus bromii"
"2477","Consumption (import)","C01019","Acidovorax avenae"
"2478","Consumption (import)","C01019","Acidovorax delafieldii"
"2479","Consumption (import)","C01019","Bacteroides fragilis"
"2480","Consumption (import)","C01019","Bacteroides ovatus"
"2481","Consumption (import)","C01019","Bacteroides thetaiotaomicron"
"2482","Consumption (import)","C01019","Phocaeicola vulgatus"
"2483","Consumption (import)","C01019","Bifidobacterium breve"
"2484","Consumption (import)","C01019","Bifidobacterium longum"
"2485","Consumption (import)","C01019","Bifidobacterium pseudocatenulatum"
"2486","Consumption (import)","C01019","Lachnospira eligens"
"2487","Consumption (import)","C01019","Roseburia inulinivorans"
"2488","Consumption (import)","C01019","[Ruminococcus] gnavus"
"2489","Consumption (import)","C01019","Blautia obeum"
"2490","Consumption (import)","C01019","Subdoligranulum variabile"
"2491","Consumption (import)","C00025, C00217","Acetohalobium arabaticum"
"2492","Consumption (import)","C00025, C00217","Acidaminococcus fermentans"
"2493","Consumption (import)","C00025, C00217","Aeromicrobium marinum"
"2494","Consumption (import)","C00025, C00217","Aminobacterium colombiense"
"2495","Consumption (import)","C00025, C00217","Candidatus Baumannia cicadellinicola"
"2497","Consumption (import)","C00025, C00217","Corynebacterium diphtheriae"
"2498","Production (export)","C00025, C00217","Corynebacterium glutamicum"
"2499","Consumption (import)","C00025, C00217","Deinococcus radiodurans"
"2500","Consumption (import)","C00025, C00217","Escherichia coli"
"2501","Production (export)","C00025, C00217","[Eubacterium] rectale"
"2502","Consumption (import)","C00025, C00217","Fusobacterium nucleatum"
"2503","Consumption (import)","C00025, C00217","Klebsiella pneumoniae"
"2504","Production (export)","C00025, C00217","Pelotomaculum thermopropionicum"
"2505","Consumption (import)","C00025, C00217","Streptococcus salivarius"
"2506","Consumption (import)","C00064, C00819","Candidatus Baumannia cicadellinicola"
"2507","Consumption (import)","C00064, C00819","Clostridium botulinum"
"2508","Consumption (import)","C00064, C00819","Clostridium sporogenes"
"2509","Consumption (import)","C00064, C00819","Clostridium tetani"
"2511","Consumption (import)","C00064, C00819","Deinococcus radiodurans"
"2512","Consumption (import)","C00064, C00819","Escherichia coli"
"2513","Consumption (import) & production (export)","C00064, C00819","[Eubacterium] rectale"
"2514","Consumption (import)","C00064, C00819","Fibrobacter succinogenes"
"2515","Consumption (import)","C00064, C00819","Fusobacterium nucleatum"
"2516","Production (export)","C00064, C00819","Pelotomaculum thermopropionicum"
"2517","Consumption (import)","C00064, C00819","Prevotella ruminicola"
"2518","Consumption (import)","C00064, C00819","Ruminococcus albus"
"2519","Consumption (import)","C00064, C00819","Streptococcus equinus"
"2520","Consumption (import)","C00037","Clostridium botulinum"
"2521","Consumption (import)","C00037","Clostridioides difficile"
"2522","Consumption (import)","C00037","Clostridium sporogenes"
"2523","Consumption (import)","C00037","Clostridium tetani"
"2525","Consumption (import)","C00037","[Eubacterium] rectale"
"2526","Consumption (import)","C00037","Pyramidobacter piscolens"
"2527","Consumption (import)","C00037","Streptococcus salivarius"
"2528","Consumption (import)","C00135","Acetohalobium arabaticum"
"2529","Consumption (import)","C00135","Acidovorax avenae"
"2530","Consumption (import)","C00135","Acidovorax delafieldii"
"2531","Consumption (import)","C00135","Anaerococcus prevotii"
"2532","Consumption (import)","C00135","Anaerococcus vaginalis"
"2533","Production (export)","C00135","Candidatus Baumannia cicadellinicola"
"2534","Consumption (import)","C00135","Clostridium botulinum"
"2535","Consumption (import)","C00135","Clostridioides difficile"
"2536","Consumption (import)","C00135","Clostridium tetani"
"2538","Consumption (import)","C00135","Escherichia coli"
"2539","Consumption (import)","C00135","Finegoldia magna"
"2540","Consumption (import)","C00135","Fusobacterium nucleatum"
"2541","Consumption (import)","C00135","Peptoniphilus harei"
"2542","Consumption (import)","C00135","Peptoniphilus lacrimalis"
"2543","Consumption (import)","C00135","Streptococcus salivarius"
"2544","Consumption (import)","C00263","Candidatus Baumannia cicadellinicola"
"2545","Consumption (import)","C00770","Escherichia coli"
"2547","Consumption (import)","C00407","Aminobacterium colombiense"
"2548","Consumption (import)","C00407","Candidatus Baumannia cicadellinicola"
"2549","Consumption (import)","C00407","Clostridium botulinum"
"2550","Consumption (import)","C00407","Clostridioides difficile"
"2551","Consumption (import)","C00407","Clostridium sporogenes"
"2553","Consumption (import)","C00407","Escherichia coli"
"2554","Consumption (import)","C00407","Streptococcus salivarius"
"2555","Consumption (import)","C00186, C00256","Acetobacter pasteurianus"
"2556","Consumption (import)","C00186, C00256","Acetohalobium arabaticum"
"2557","Production (export)","C00186, C00256","Gleimia coleocanis"
"2558","Production (export)","C00186, C00256","Schaalia odontolytica"
"2559","Production (export)","C00186, C00256","Actinomyces oris"
"2560","Production (export)","C00186, C00256","Actinomyces urogenitalis"
"2561","Production (export)","C00186, C00256","Actinomyces viscosus"
"2562","Consumption (import)","C00186, C00256","Aeromonas hydrophila"
"2563","Consumption (import)","C00186, C00256","Aggregatibacter actinomycetemcomitans"
"2564","Consumption (import)","C00186, C00256","Anaerostipes caccae"
"2565","Production (export)","C00186, C00256","Lancefieldella parvula"
"2566","Production (export)","C00186, C00256","Lancefieldella rimae"
"2567","Production (export)","C00186, C00256","Fannyhessea vaginae"
"2568","Consumption (import) & production (export)","C00186, C00256","Bacteroides fragilis"
"2569","Production (export)","C00186, C00256","Bacteroides ovatus"
"2570","Production (export)","C00186, C00256","Bacteroides thetaiotaomicron"
"2571","Production (export)","C00186, C00256","Bifidobacterium adolescentis"
"2572","Production (export)","C00186, C00256","Bifidobacterium angulatum"
"2573","Production (export)","C00186, C00256","Bifidobacterium animalis"
"2574","Production (export)","C00186, C00256","Bifidobacterium bifidum"
"2575","Production (export)","C00186, C00256","Bifidobacterium breve"
"2576","Production (export)","C00186, C00256","Bifidobacterium catenulatum"
"2577","Production (export)","C00186, C00256","Bifidobacterium dentium"
"2578","Production (export)","C00186, C00256","Bifidobacterium gallicum"
"2579","Production (export)","C00186, C00256","Bifidobacterium longum"
"2580","Production (export)","C00186, C00256","Bifidobacterium pseudocatenulatum"
"2581","Consumption (import)","C00186, C00256","Bilophila wadsworthia"
"2582","Production (export)","C00186, C00256","Blautia hansenii"
"2583","Production (export)","C00186, C00256","Blautia hydrogenotrophica"
"2584","Production (export)","C00186, C00256","Butyrivibrio crossotus"
"2585","Production (export)","C00186, C00256","Butyrivibrio fibrisolvens"
"2586","Production (export)","C00186, C00256","Butyrivibrio proteoclasticus"
"2587","Production (export)","C00186, C00256","Catenibacterium mitsuokai"
"2588","Production (export)","C00186, C00256","Ruminiclostridium cellulolyticum"
"2589","Consumption (import)","C00186, C00256","Clostridium kluyveri"
"2590","Production (export)","C00186, C00256","Clostridium perfringens"
"2591","Production (export)","C00186, C00256","Collinsella aerofaciens"
"2592","Production (export)","C00186, C00256","Collinsella intestinalis"
"2593","Production (export)","C00186, C00256","Collinsella stercoris"
"2595","Consumption (import)","C00186, C00256","Comamonas testosteroni"
"2596","Consumption (import) & production (export)","C00186, C00256","Coprococcus catus"
"2597","Production (export)","C00186, C00256","Coprococcus comes"
"2598","Production (export)","C00186, C00256","Coprococcus eutactus"
"2599","Consumption (import)","C00186, C00256","Desulfobulbus propionicus"
"2600","Consumption (import)","C00186, C00256","Desulfotomaculum nigrificans"
"2601","Consumption (import)","C00186, C00256","Pseudodesulfovibrio aespoeensis"
"2602","Consumption (import)","C00186, C00256","Desulfovibrio desulfuricans"
"2603","Consumption (import)","C00186, C00256","Solidesulfovibrio fructosivorans"
"2604","Consumption (import)","C00186, C00256","Solidesulfovibrio magneticus"
"2605","Consumption (import) & production (export)","C00186, C00256","Desulfovibrio piger"
"2606","Consumption (import)","C00186, C00256","Maridesulfovibrio salexigens"
"2607","Consumption (import)","C00186, C00256","Desulfovibrio vulgaris"
"2608","Production (export)","C00186, C00256","Dorea formicigenerans"
"2609","Production (export)","C00186, C00256","Enterococcus casseliflavus"
"2610","Production (export)","C00186, C00256","Enterococcus faecalis"
"2611","Production (export)","C00186, C00256","Enterococcus faecium"
"2612","Production (export)","C00186, C00256","Enterococcus gallinarum"
"2613","Production (export)","C00186, C00256","Enterococcus italicus"
"2614","Production (export)","C00186, C00256","Escherichia albertii"
"2615","Production (export)","C00186, C00256","Escherichia coli"
"2616","Production (export)","C00186, C00256","Escherichia fergusonii"
"2617","Production (export)","C00186, C00256","[Eubacterium] cellulosolvens"
"2618","Production (export)","C00186, C00256","Lachnospira eligens"
"2619","Consumption (import) & production (export)","C00186, C00256","Anaerobutyricum hallii"
"2620","Consumption (import) & production (export)","C00186, C00256","Eubacterium limosum"
"2621","Production (export)","C00186, C00256","[Eubacterium] rectale"
"2622","Production (export)","C00186, C00256","Lachnoanaerobaculum saburreum"
"2623","Production (export)","C00186, C00256","[Eubacterium] saphenum"
"2624","Production (export)","C00186, C00256","[Eubacterium] siraeum"
"2625","Production (export)","C00186, C00256","Eubacterium ventriosum"
"2626","Production (export)","C00186, C00256","Faecalibacterium prausnitzii"
"2627","Production (export)","C00186, C00256","Fibrobacter succinogenes"
"2628","Production (export)","C00186, C00256","Fusobacterium nucleatum"
"2629","Consumption (import)","C00186, C00256","Haemophilus influenzae"
"2630","Consumption (import)","C00186, C00256","Haemophilus parainfluenzae"
"2631","Production (export)","C00186, C00256","Holdemania filiformis"
"2632","Production (export)","C00186, C00256","Lactobacillus acidophilus"
"2633","Production (export)","C00186, C00256","Lactobacillus amylolyticus"
"2634","Production (export)","C00186, C00256","Lactobacillus amylovorus"
"2635","Production (export)","C00186, C00256","Limosilactobacillus antri"
"2636","Consumption (import) & production (export)","C00186, C00256","Levilactobacillus brevis"
"2637","Consumption (import) & production (export)","C00186, C00256","Lentilactobacillus buchneri"
"2638","Production (export)","C00186, C00256","Lacticaseibacillus casei"
"2639","Production (export)","C00186, C00256","Limosilactobacillus coleohominis"
"2640","Production (export)","C00186, C00256","Lactobacillus crispatus"
"2641","Production (export)","C00186, C00256","Lactobacillus delbrueckii"
"2642","Production (export)","C00186, C00256","Limosilactobacillus fermentum"
"2643","Production (export)","C00186, C00256","Lactobacillus gasseri"
"2644","Production (export)","C00186, C00256","Lactobacillus helveticus"
"2645","Production (export)","C00186, C00256","Lentilactobacillus hilgardii"
"2646","Production (export)","C00186, C00256","Lactobacillus iners"
"2647","Production (export)","C00186, C00256","Lactobacillus jensenii"
"2648","Production (export)","C00186, C00256","Lactobacillus johnsonii"
"2649","Production (export)","C00186, C00256","Limosilactobacillus oris"
"2650","Production (export)","C00186, C00256","Lacticaseibacillus paracasei"
"2651","Consumption (import) & production (export)","C00186, C00256","Lactiplantibacillus plantarum"
"2652","Production (export)","C00186, C00256","Limosilactobacillus reuteri"
"2653","Production (export)","C00186, C00256","Lacticaseibacillus rhamnosus"
"2654","Production (export)","C00186, C00256","Ligilactobacillus ruminis"
"2655","Production (export)","C00186, C00256","Latilactobacillus sakei"
"2656","Production (export)","C00186, C00256","Ligilactobacillus salivarius"
"2657","Production (export)","C00186, C00256","Lactobacillus ultunensis"
"2658","Production (export)","C00186, C00256","Limosilactobacillus vaginalis"
"2659","Production (export)","C00186, C00256","Lactococcus lactis"
"2660","Production (export)","C00186, C00256","Leptotrichia buccalis"
"2661","Production (export)","C00186, C00256","Pseudoleptotrichia goodfellowii"
"2662","Production (export)","C00186, C00256","Leptotrichia hofstadii"
"2663","Production (export)","C00186, C00256","Leuconostoc citreum"
"2664","Production (export)","C00186, C00256","Leuconostoc gelidum subsp. gasicomitatum"
"2665","Production (export)","C00186, C00256","Leuconostoc kimchii"
"2666","Production (export)","C00186, C00256","Leuconostoc mesenteroides"
"2667","Production (export)","C00186, C00256","Marvinbryantia formatexigens"
"2668","Production (export)","C00186, C00256","Megamonas hypermegale"
"2669","Consumption (import)","C00186, C00256","Megasphaera micronuciformis"
"2670","Consumption (import)","C00186, C00256","Methylobacterium nodulans"
"2671","Consumption (import)","C00186, C00256","Moorella thermoacetica"
"2672","Production (export)","C00186, C00256","Oenococcus oeni"
"2673","Production (export)","C00186, C00256","Pediococcus acidilactici"
"2674","Production (export)","C00186, C00256","Pediococcus pentosaceus"
"2675","Consumption (import)","C00186, C00256","Pelobacter propionicus"
"2676","Consumption (import)","C00186, C00256","Pelotomaculum thermopropionicum"
"2677","Consumption (import)","C00186, C00256","Cutibacterium acnes"
"2678","Consumption (import)","C00186, C00256","Propionibacterium freudenreichii"
"2679","Consumption (import)","C00186, C00256","Pseudomonas aeruginosa"
"2680","Consumption (import) & production (export)","C00186, C00256","Roseburia intestinalis"
"2681","Production (export)","C00186, C00256","Roseburia inulinivorans"
"2682","Production (export)","C00186, C00256","Ruminococcus bromii"
"2683","Production (export)","C00186, C00256","Ruminococcus flavefaciens"
"2684","Production (export)","C00186, C00256","Blautia obeum"
"2685","Production (export)","C00186, C00256","[Ruminococcus] torques"
"2686","Consumption (import)","C00186, C00256","Selenomonas artemidis"
"2687","Consumption (import)","C00186, C00256","Selenomonas flueggei"
"2688","Consumption (import)","C00186, C00256","Selenomonas noxia"
"2689","Consumption (import)","C00186, C00256","Selenomonas sputigena"
"2690","Consumption (import)","C00186, C00256","Shewanella putrefaciens"
"2691","Production (export)","C00186, C00256","Staphylococcus aureus"
"2692","Production (export)","C00186, C00256","Staphylococcus capitis"
"2693","Production (export)","C00186, C00256","Staphylococcus carnosus"
"2694","Production (export)","C00186, C00256","Staphylococcus epidermidis"
"2695","Production (export)","C00186, C00256","Staphylococcus haemolyticus"
"2696","Production (export)","C00186, C00256","Staphylococcus hominis"
"2697","Production (export)","C00186, C00256","Staphylococcus lugdunensis"
"2698","Production (export)","C00186, C00256","Staphylococcus pseudintermedius"
"2699","Production (export)","C00186, C00256","Staphylococcus saprophyticus"
"2700","Production (export)","C00186, C00256","Staphylococcus warneri"
"2701","Production (export)","C00186, C00256","Streptococcus agalactiae"
"2702","Production (export)","C00186, C00256","Streptococcus anginosus"
"2703","Production (export)","C00186, C00256","Streptococcus australis"
"2704","Production (export)","C00186, C00256","Streptococcus equinus"
"2705","Production (export)","C00186, C00256","Streptococcus cristatus"
"2706","Production (export)","C00186, C00256","Streptococcus downei"
"2707","Production (export)","C00186, C00256","Streptococcus dysgalactiae"
"2708","Production (export)","C00186, C00256","Streptococcus equi"
"2709","Production (export)","C00186, C00256","Streptococcus gallolyticus"
"2710","Production (export)","C00186, C00256","Streptococcus gordonii"
"2711","Production (export)","C00186, C00256","Streptococcus infantarius"
"2712","Production (export)","C00186, C00256","Streptococcus infantis"
"2713","Production (export)","C00186, C00256","Streptococcus mitis"
"2714","Production (export)","C00186, C00256","Streptococcus mutans"
"2715","Production (export)","C00186, C00256","Streptococcus oralis"
"2716","Production (export)","C00186, C00256","Streptococcus parasanguinis"
"2717","Production (export)","C00186, C00256","Streptococcus peroris"
"2718","Production (export)","C00186, C00256","Streptococcus pneumoniae"
"2719","Production (export)","C00186, C00256","Streptococcus pseudoporcinus"
"2720","Production (export)","C00186, C00256","Streptococcus pyogenes"
"2721","Production (export)","C00186, C00256","Streptococcus salivarius"
"2722","Production (export)","C00186, C00256","Streptococcus sanguinis"
"2723","Production (export)","C00186, C00256","Streptococcus suis"
"2724","Production (export)","C00186, C00256","Streptococcus thermophilus"
"2725","Production (export)","C00186, C00256","Streptococcus uberis"
"2726","Production (export)","C00186, C00256","Streptococcus vestibularis"
"2727","Production (export)","C00186, C00256","Subdoligranulum variabile"
"2728","Consumption (import)","C00186, C00256","Syntrophobacter fumaroxidans"
"2729","Consumption (import)","C00186, C00256","Syntrophomonas wolfei"
"2730","Consumption (import)","C00186, C00256","Syntrophus aciditrophicus"
"2731","Consumption (import)","C00186, C00256","Veillonella atypica"
"2732","Consumption (import)","C00186, C00256","Veillonella dispar"
"2733","Consumption (import)","C00186, C00256","Veillonella parvula"
"2734","Production (export)","C00186, C00256","Weissella paramesenteroides"
"2735","Consumption (import)","C00123","Aminobacterium colombiense"
"2736","Consumption (import)","C00123","Anaerococcus tetradius"
"2737","Consumption (import)","C00123","Anaerococcus vaginalis"
"2738","Consumption (import)","C00123","Bacteroides thetaiotaomicron"
"2739","Consumption (import)","C00123","Candidatus Baumannia cicadellinicola"
"2740","Production (export)","C00123","Buchnera aphidicola"
"2741","Consumption (import)","C00123","Clostridium botulinum"
"2742","Consumption (import)","C00123","Clostridioides difficile"
"2743","Consumption (import)","C00123","Clostridium sporogenes"
"2744","Consumption (import)","C00123","Clostridium tetani"
"2746","Consumption (import)","C00123","Escherichia coli"
"2747","Consumption (import)","C00123","Finegoldia magna"
"2748","Consumption (import)","C00123","Peptoniphilus lacrimalis"
"2749","Consumption (import)","C00123","Prevotella ruminicola"
"2750","Consumption (import)","C00123","Streptococcus salivarius"
"2751","Consumption (import)","C00047, C00739","Candidatus Baumannia cicadellinicola"
"2752","Consumption (import)","C00047, C00739","Clostridium botulinum"
"2753","Consumption (import)","C00047, C00739","Clostridium tetani"
"2755","Production (export)","C00047, C00739","Corynebacterium glutamicum"
"2756","Consumption (import)","C00047, C00739","Fusobacterium nucleatum"
"2757","Consumption (import)","C00047, C00739","Odoribacter splanchnicus"
"2758","Consumption (import)","C00047, C00739","Streptococcus salivarius"
"2759","Consumption (import)","C00149, C00497","Anaerotruncus colihominis"
"2760","Consumption (import)","C00149, C00497","Bacillus subtilis"
"2761","Consumption (import)","C00149, C00497","Bilophila wadsworthia"
"2762","Production (export)","C00149, C00497","Clostridium tetani"
"2764","Consumption (import)","C00149, C00497","Corynebacterium glutamicum"
"2765","Consumption (import)","C00149, C00497","Desulfovibrio vulgaris"
"2766","Consumption (import)","C00149, C00497","Sinorhizobium meliloti"
"2767","Consumption (import)","C00149, C00497","Escherichia coli"
"2768","Consumption (import)","C00149, C00497","Klebsiella pneumoniae"
"2769","Consumption (import)","C00149, C00497","Methylobacterium nodulans"
"2770","Production (export)","C00149, C00497","Pelotomaculum thermopropionicum"
"2771","Consumption (import)","C00149, C00497","Pseudomonas aeruginosa"
"2772","Consumption (import)","C00149, C00497","Rhizobium leguminosarum"
"2773","Consumption (import)","C00149, C00497","Rhodobacter capsulatus"
"2774","Consumption (import)","C00149, C00497","Rhodopseudomonas palustris"
"2775","Consumption (import)","C00149, C00497","Syntrophobacter fumaroxidans"
"2776","Consumption (import)","C00149, C00497","Veillonella parvula"
"2777","Consumption (import)","C00149, C00497","Xanthomonas campestris"
"2778","Consumption (import)","C00073, C00855","Acholeplasma laidlawii"
"2779","Consumption (import)","C00073, C00855","Aminobacterium colombiense"
"2780","Consumption (import)","C00073, C00855","Bacteroides fragilis"
"2781","Consumption (import)","C00073, C00855","Bacteroides thetaiotaomicron"
"2782","Consumption (import)","C00073, C00855","Phocaeicola vulgatus"
"2783","Production (export)","C00073, C00855","Candidatus Baumannia cicadellinicola"
"2784","Production (export)","C00073, C00855","Buchnera aphidicola"
"2785","Consumption (import)","C00073, C00855","Clostridium botulinum"
"2786","Consumption (import)","C00073, C00855","Clostridioides difficile"
"2787","Consumption (import)","C00073, C00855","Clostridium sporogenes"
"2788","Consumption (import)","C00073, C00855","Clostridium tetani"
"2790","Consumption (import)","C00073, C00855","Deinococcus radiodurans"
"2791","Consumption (import)","C00073, C00855","Fusobacterium nucleatum"
"2792","Consumption (import)","C00073, C00855","Parabacteroides distasonis"
"2793","Consumption (import)","C00073, C00855","Prevotella ruminicola"
"2794","Consumption (import)","C00073, C00855","Streptococcus salivarius"
"2795","Production (export)","C00077","Clostridium perfringens"
"2797","Production (export)","C00077","Enterococcus faecalis"
"2798","Consumption (import)","C00077","[Eubacterium] rectale"
"2799","Consumption (import)","C00079, C02265","Bacteroides thetaiotaomicron"
"2800","Consumption (import)","C00079, C02265","Candidatus Baumannia cicadellinicola"
"2801","Consumption (import)","C00079, C02265","Clostridium botulinum"
"2802","Consumption (import)","C00079, C02265","Clostridioides difficile"
"2803","Consumption (import)","C00079, C02265","Clostridium sporogenes"
"2804","Consumption (import)","C00079, C02265","Acetoanaerobium sticklandii"
"2805","Consumption (import)","C00079, C02265","Clostridium tetani"
"2807","Consumption (import)","C00079, C02265","Peptoniphilus lacrimalis"
"2808","Consumption (import)","C00079, C02265","Streptococcus salivarius"
"2809","Consumption (import)","C00148, C00763","Clostridium botulinum"
"2810","Consumption (import)","C00148, C00763","Clostridioides difficile"
"2811","Consumption (import)","C00148, C00763","Clostridium sporogenes"
"2812","Consumption (import)","C00148, C00763","Acetoanaerobium sticklandii"
"2814","Consumption (import)","C00148, C00763","Methylobacterium nodulans"
"2815","Consumption (import)","C00148, C00763","Peptostreptococcus anaerobius"
"2816","Consumption (import)","C00507, C01684","Aeromonas hydrophila"
"2817","Consumption (import)","C00507, C01684","Bacteroides ovatus"
"2818","Consumption (import)","C00507, C01684","Bacteroides thetaiotaomicron"
"2819","Consumption (import)","C00507, C01684","Bacteroides xylanisolvens"
"2820","Consumption (import)","C00507, C01684","Butyrivibrio fibrisolvens"
"2821","Consumption (import)","C00507, C01684","Butyrivibrio proteoclasticus"
"2822","Consumption (import)","C00507, C01684","Collinsella aerofaciens"
"2823","Consumption (import)","C00507, C01684","Holdemania filiformis"
"2824","Consumption (import)","C00507, C01684","Parabacteroides distasonis"
"2825","Consumption (import)","C00507, C01684","Prevotella copri"
"2826","Consumption (import)","C00507, C01684","Blautia obeum"
"2827","Consumption (import)","C00507, C01684","Subdoligranulum variabile"
"2829","Consumption (import)","C00065, C00740","Anaerotruncus colihominis"
"2830","Consumption (import)","C00065, C00740","Clostridium botulinum"
"2831","Consumption (import)","C00065, C00740","Clostridioides difficile"
"2832","Consumption (import)","C00065, C00740","[Clostridium] leptum"
